,Data,User,Texto
0,2022-10-28 23:59:59+00:00,CNNBrasil,"O comentarista da CNN Felipe Moura Brasil analisou o impacto das eleições estaduais na disputa entre o ex-presidente Luiz Inácio Lula da Silva (PT) e o presidente Jair Bolsonaro (PL), candidato à reeleição #ExpressoCNN #CNNnasEleições https://t.co/snAINO0mcH"
1,2022-10-28 23:59:59+00:00,luizfgc_,Quem for à praia da estação ou qualquer manifestação de apoio ao Lula tome muito cuidado! https://t.co/T87dxQSiif
2,2022-10-28 23:59:59+00:00,AlhoSexual,"E eu... Sou... Lula da Silva!
Arrepieiahahbauahauhauahaua vi auhahahahayahauahha CAI SE FUSERBAJABAU"
3,2022-10-28 23:59:59+00:00,xiovanaaa,"@_Janoninho LULA INOCENTE
BOLSONARO CRIMINOSO  
Meu presidente é o futuro do Brasil"
4,2022-10-28 23:59:59+00:00,rangelpaula_,@ThiagoResiste VOU DE LULA
5,2022-10-28 23:59:59+00:00,MarcosDiamante3,"Bolsonaro já está na globo, Sérgio Moro está Junto.
LULA se assusta com a presença do seu carrasco na lava jato,a noite promete.
Bolsonaro vai botar o ladrão no lugar dele!!!!"
6,2022-10-28 23:59:59+00:00,arimarosa,fiz post em massa tacando pau no capeta pq depois que o lula ganhar eu nunca mais toco no nome desse infeliz
7,2022-10-28 23:59:59+00:00,MariaAbrantes19,@ThiagoResiste LULA INOCENTE de todas as acusações.
8,2022-10-28 23:59:59+00:00,IrineuNeiva,"@BolsonaroSP Mas eu posso dizer que Lula é descondenado, um ex presidiário, um ladrão favorável ao aborto, à favor da liberação das drogas etc etc"
9,2022-10-28 23:59:59+00:00,BackupDias,"@9camis @ThiagoResiste LULA É INOCENTE
LULA É INOCENTE
LULA É INOCENTE
LULA É INOCENTE
LULA É INOCENTE
LULA É INOCENTE
LULA É INOCENTE
LULA É INOCENTE
LULA É INOCENTE
LULA É INOCENTE
LULA É INOCENTE
LULA É INOCENTE
LULA É INOCENTE
LULA É INOCENTE
LULA É INOCENTE
LULA É INOCENTE"
10,2022-10-28 23:59:59+00:00,deusadewakkanda,"Essas eleições acabaram com minha libido, domingo depois da apuração a jiripoca vai piar aqui nessa casa pq com lula presidente não tem como!!!!!"
11,2022-10-28 23:59:59+00:00,IsamaraMonteir4,"LULA INOCENTE
ADEUS BOLSONARO
JANONES EU AUTORIZO
vingadores
#NemTodoHeroiUsaCapa"
12,2022-10-28 23:59:59+00:00,jotaaraujo_fla,LULA  É INOCENTE
13,2022-10-28 23:59:58+00:00,lbiaraujo,tava sem entender a academiaa vaziaa hj pois simplesmente passa todo mundo na carreata do lula🙏🏼
14,2022-10-28 23:59:58+00:00,18011976,Lula é Ladrão
15,2022-10-28 23:59:58+00:00,asantosd2,@nikolas_dm @felipeneto Felipe Neto só defende o Lula por  conta da play9 que só tem global etc
16,2022-10-28 23:59:58+00:00,Maurcio81200943,@Jouberth19 Lula não foi inocentado Lula não foi inocentado Lula não foi inocentado
17,2022-10-28 23:59:58+00:00,euarrobanada,"@ThiagoResiste LULA INOCENTE
SÃO PAULO NÃO VOTA EM ASSASSINO"
18,2022-10-28 23:59:57+00:00,RizzoSegato,"@Correa199903 @nacaomarveI Cara, se o Lula fizer besteira vamos todos criticar, pois ao contrário dos bolsominions não temos políticos de estimação e não acreditamos em salvadores da pátria."
19,2022-10-28 23:59:57+00:00,Btasdark,@choquei Lula chega envolto de mulheres! enquanto o Bozo é a festa da salsicha murcha. assim não né...
20,2022-10-28 23:59:57+00:00,angelamdc,"O LULA NÃO FOI INOCENTADO.
#LulaNaoFoiInocentado"
21,2022-10-28 23:59:57+00:00,ifzjuli,o governo do lula nem começou e ja estamos comendo churrasco e tomando uma cervejinha https://t.co/6iuGAqiSGy
22,2022-10-28 23:59:57+00:00,fabiana0biana,Lula tá um luxo...pele hidratada sem olheiras...#LulaNaGlobo
23,2022-10-28 23:59:57+00:00,LuizCarlosFPai1,@_Janoninho SOU LULA
24,2022-10-28 23:59:56+00:00,onlyvanz_,@omelete *Votar no Lula
25,2022-10-28 23:59:56+00:00,prricardoramos,Hoje nós vamos ver o lula pela última vez!!!! #Brasil #Bolsonaro22
26,2022-10-28 23:59:56+00:00,SirBrubo,@choquei Do Presidente mais lindo e preparado desse país. Luiz Inácio Lula da Silva.
27,2022-10-28 23:59:56+00:00,CHKleinschmitt,"@Ivanictor @orlandomatheu16 @GuiSampaios Esse papo de narcotráfico vem desde a fundação do Foro de São Paulo que o Lula é o criador e se orgulha, financiado pelas Farc e tanto é que quando Bolsonaro assumiu vazou uma interceptação que com o PT os traficantes tinham diálogo cabuloso. https://t.co/upttZlgdkK"
28,2022-10-28 23:59:56+00:00,silvayuan,"@AndreJanonesAdv Danone deixa de ser vagabundo porque quem defende bandido é tu, lula não foi inocentado simplesmente vai começar tudo de novo os julgamentos seu cara de pau seu fanfarrão"
29,2022-10-28 23:59:56+00:00,DaniRuffus,@heytauat Uma pergunta se o Lula for inocente pq os ministro do TRF4 não foram declarados parcial?? Outra coisa além da sentença ser mantida foi aumentada. Tem que ser muito apegado ao ex presidente para acreditar nessa tese.
30,2022-10-28 23:59:56+00:00,ApgLup,@JardilinoDaniel Sou LULA
31,2022-10-28 23:59:56+00:00,Marisa14583284,@gremistaleosilv @LulaOficial MG é Lula
32,2022-10-28 23:59:56+00:00,SilvanoLuis,"Lula é bandido, é ladrão e mentiroso!"
33,2022-10-28 23:59:56+00:00,solange15104416,@g1 Boa sorte Lula!! A Janja está um arraso. Linda e simpática!! 🚩🚩
34,2022-10-28 23:59:55+00:00,Sonia_RMonteiro,"@PabloSilvamaga1 @2323Tulio @felipeneto @LulaOficial Oh gente chata!"" Tudo agora é  algum tipo de fobia!? Haja paciência!"
35,2022-10-28 23:59:55+00:00,ahlsofah,boa tentativa xuxa mas eu ainda vou votar no lula
36,2022-10-28 23:59:55+00:00,VASasaki,@AthleticoPR Fodase Petraglia aqui é CAP e Lula
37,2022-10-28 23:59:55+00:00,beaTROPIX,"Com todo respeito presidente Lula, mas a janja... 😊🤤🤤"
38,2022-10-28 23:59:55+00:00,andr67272991,@_Janoninho LULA EU AUTORIZO
39,2022-10-28 23:59:55+00:00,janmota41,"@lordivan22 LULA NÃO FOI INOCENTADO 
LULA NÃO FOI INOCENTADO 
LULA NÃO FOI INOCENTADO 
LULA NÃO FOI INOCENTADO 
LULA NÃO FOI INOCENTADO"
40,2022-10-28 23:59:54+00:00,tibilds,@AndreiaSadi NÃO VI POST SEU SOBRE A CHEGADA DO LULA E QUEM ELE TROUXE A TIRACOLO…. #DebateGlobo
41,2022-10-28 23:59:54+00:00,FelipeHalliday,"Vou votar no Lula mas se ele ganhar, dia 2 de janeiro já começo uma oposição ferrenha: ""o cabelo do presidente tá muito feito hoje"", ""o minha casa minha vida tá dando casa demais"", ""fica melhor sem gravata"". Não darei sossêgo!"
42,2022-10-28 23:59:54+00:00,maluprin,"Toque para ver 👇🏼👇🏼👇🏼
https://t.co/z9wmpkKVWuÁRIOS DESESPERADOS..QUERIAM NÃO PAGAR DÉCIMO TERCEIRO...FGTS...FÉRIAS..
COM LULA NÃO VÃO CONSEGUIR.QUEM TIRA DO POBRE E BOZO.LULA2022PRESIDENTE! https://t.co/F0F24Xhbfx"
43,2022-10-28 23:59:54+00:00,Obsinto,"@erosnoqs ai daqui 4 anos quando lula n fizer porra de nada, bota outra pessoa de direita, e vai revezando até aparecer alguém descente que saiba oque ta fznd"
44,2022-10-28 23:59:54+00:00,casagrande_,Falou quem escreveu “Lula deve morrer”. Vá cagar.
45,2022-10-28 23:59:54+00:00,Pantaneiro_MS22,"@senadorhumberto Mentira!!!

Lula é um descondenado.

Quem tem Alvará de Soltura é o que? https://t.co/nkigVM15NN"
46,2022-10-28 23:59:54+00:00,Jssicacamilaham,@choquei Lula
47,2022-10-28 23:59:53+00:00,Brunebadelico,"@drezende @victorfranz Oxi, tem ninguém mais liberal do que o Lula concorrendo"
48,2022-10-28 23:59:53+00:00,RickMGaspar,"@revistaoeste Pô, o Lula é o primo rico, tá com mais de 18 mil postagens de rádio de vantagem... deixa assim primo... não preciso mais."
49,2022-10-28 23:59:53+00:00,hablandotudinho,@DeBonaMarcelo Foi uma fala realmente lastimável. Mas não podemos esquecer da fala do lula também “ainda bem que a natureza criou o covid”.
50,2022-10-28 23:59:53+00:00,JANI_VALVERD,"Gente, o debate vai passar no YouTube do Lula??"
51,2022-10-28 23:59:52+00:00,Samapacheco,"Vivendo censura! Ditadura, nunca acreditei que viveria isso, show cancelado pq  um dos músicos estava com um BOTON DO LULA, ELE TIROU. Mas mesmo assim cancelaram, e ainda cancelaram o show do Poetas! Que vergonha!!! #censura #ditadura #lula"
52,2022-10-28 23:59:52+00:00,MarciaMagalhe11,@jairmearrependi LULA INOCENTE chegando p brilhar
53,2022-10-28 23:59:52+00:00,anscrf,"@osmaracf @mariosabinof Ajuda sim, o comentário que ta rolando pra geral é que Lula tirou a propaganda de Bolsonaro das rádios
Isso se espalhou rapidamente"
54,2022-10-28 23:59:52+00:00,JORGEGO43617608,@ThiagoResiste LULA 13
55,2022-10-28 23:59:52+00:00,mathaugustoz_,"Faz o L e vem ! 

#lula #LulaPresidente1️⃣3️⃣ #lula2022 https://t.co/2tIWrjtvB1"
56,2022-10-28 23:59:52+00:00,Marcili99933570,@_Janoninho Lula na globo
