,Data,User,Texto
0,2022-10-14 23:59:59+00:00,EdelzaVeloso,"@simonetebetbr Vergonha da Sra. Estava até começando a gostar e acreditar em vc. HIPÓCRITA!
Nenhuma pessoa em sã consciência entre Lula e Bolsonaro escolheria apoiar o Lula, a não ser que tenha outros interesses por trás. https://t.co/r8kpltWItH"
1,2022-10-14 23:59:59+00:00,HelderL70815677,@felipeneto Esse Bolsonaro é um canalha mesmo. É o preço que o Brasil paga por eleger um incompetente.
2,2022-10-14 23:59:59+00:00,bigu_junior,@AndreJanonesAdv BOLSONARO NÃO GOSTA DE POBRE.
3,2022-10-14 23:59:59+00:00,carlos_rlongo,@Gleison71763889 @PaulaDRF1985 @diogomc @flaviofachel São Paulo que é governada pelo PSDB há 30 anos e agora tá escolhendo o candidato do Bolsonaro?
4,2022-10-14 23:59:59+00:00,DienerJose,@AndreJanonesAdv BOLSONARO NÃO GOSTA DE POBRE
5,2022-10-14 23:59:58+00:00,MoreiraMiralda,"@JornalOGlobo Quem tentou matar Bolsonaro? Quem matou Celso Daniel e seus testemunho? Quem matou toninho do PT? Saiba q o sangue deles clamam por vingança a Deus, https://t.co/LYWpns6Q6T"
6,2022-10-14 23:59:58+00:00,anabernardi,"https://t.co/Iv7TGsT7xp
Todo ditador precisa de controlar o Congresso e o judiciário. O Congresso ele já tem. Agora quer tentar dominar o STF.A ideia de Bolsonaro é reeditar o Ato Institucional n° 2 (AI-2) da Ditadura Militar.
Chávez fez o mesmo."
7,2022-10-14 23:59:58+00:00,onllyfrever,como vamos desassociar a bandeira do brasil ao bolsonaro até a copa do mundo??? tenho pavor só de ver verde e amarelo
8,2022-10-14 23:59:57+00:00,SrStarkV,BOLSONARO NÃO GOSTA DE POBRE
9,2022-10-14 23:59:57+00:00,GarzedimPetru,"@D_Santos_Maria @mfriasoficial @SandraValriaPr1 @jairbolsonaro Foi Bolsonaro quem criou o vírus, sua anta ??? Eu perdi uma irmã para as drogas que o lixo do ladrão de 9 dedos quer legalizar."
