,Data,User,Texto
0,2022-10-23 23:59:59+00:00,marcosalvito,"Bolsonaro defende os policiais, menos aqueles que ousem cumprir ordens de prisão contra seus aliados corruptos, aí é porrada, tiro de fuzil e granada..."
1,2022-10-23 23:59:59+00:00,naldoalencar7,"@realpfigueiredo Meu irmão vc está totalmente equivocado. 
Tá bom de ficar quieto. Vc está misturando as coisas. 
Não podemos aceitar em hipótese nenhuma atentado contra um agente policial, independente das razões das partes. 
Bolsonaro deixou bem claro que era contra a ação do AM."
2,2022-10-23 23:59:59+00:00,mariate89047490,"Nada contra a prisão d Roberto Jeferson,mas a procuradora Samya Suruagy do Amaral que chamou a primeira dama Michele Bolsonaro de “vagabunda” e a jornalista Barbara Gancia que chamou a filha do presidente de 11 anos de ""puta"",foram processadas ou já receberam a visita da PF?"
3,2022-10-23 23:59:59+00:00,PauloFr46094377,@silviogrimaldo Mas o Bolsonaro enviou o exercito para proteger o bob jeff https://t.co/F2vpMvCQ30
4,2022-10-23 23:59:59+00:00,CharlitosRosa,"@flferronato Nessa mesma época, o criminoso dava emprego para E. Bolsonaro https://t.co/FGXaGCBO9o"
5,2022-10-23 23:59:59+00:00,brunofranqueira,@AttuchLeonardo Bolsonaro é o maior inimigo dos brasileiros!
6,2022-10-23 23:59:59+00:00,enilatequila,"@FlavioBolsonaro @jairbolsonaro bem capaz, pleno domingo assistir esse velho asqueroso e correr o risco de nascer um quarto olho em mim https://t.co/1oxID5esNN"
7,2022-10-23 23:59:58+00:00,v_luizz_,@jairbolsonaro Mas não era teu amigo ??kkkk
8,2022-10-23 23:59:58+00:00,sa_Davi,"""Padre Kelmon, indicado por Roberto Jefferson, fez dobradinha com Bolsonaro para atacar Lula no debate na Globo""
#Fantástico"
9,2022-10-23 23:59:58+00:00,edsonsaless,O Fantástico expondo a relação do Roberto Jeferson com o Bolsonaro hahahahaha QUE SABOR #fantastico
10,2022-10-23 23:59:58+00:00,ExmoDireito,"@jairbolsonaro Já foi preso. Falemos agora da negligência face a Covid-19, 51 imóveis, congelamento do salário mínimo, cortes na farmácia popular, na habitação, na saúde, orçamento secreto, armamento irresponsável, etc."
11,2022-10-23 23:59:58+00:00,Lare799,@PaulaKrausche @jairbolsonaro @jorgeemateus Parabéns @PaulaKrausche
12,2022-10-23 23:59:58+00:00,fuckyou2dude2,O que a oposição não entendeu é que o eleitor do Bolsonaro gosta da imagem manipulada que criaram pra dizer quem ele é.
13,2022-10-23 23:59:58+00:00,tonvieira87,"Bolsonaro vai dar indulto para Roberto Jeferson, assim como deu para o outro meliante Daniel Silveira."
14,2022-10-23 23:59:58+00:00,Delgbruno2,"@monoswainbr @fakeangelgirl @FeCastanhari Isso. Indicado pelo Lula ao STF afirmou q Bolsonaro foi o único q não pegou propina. É p petista nenhum negar. Porém, quando as investigações se aproximaram do PT ele alegou dor nas costas e saiu do cargo vitalício. E o Fachin que foi organizador de campanha d Dilma soltou o Lula"
15,2022-10-23 23:59:57+00:00,startboarding1,"@Presidentrampo @coronelvelasc0 @Rollo_oficial Essa galera é a chamada direita emocionada, relaxa, eles falam isso tem pelo menos 3 anos, inclusive tem gente achando que o RJ fez pra ferrar o Bolsonaro. Final da Super Live e o cara mete uma dessa...🤦🏻‍♂️"
16,2022-10-23 23:59:57+00:00,valencadaniel,"@Ryan7xMendes @izajjunior Mas bolsonaro é extremista de direita, radical, fascista...

O que tu tá dizendo é que Raquel sentaria com hitler pra definir as políticas pra Pernambuco. Só que hitler que matar os nordestino tudo."
17,2022-10-23 23:59:57+00:00,guinadilio,"Resumo dos últimos dias:
_Bolsonaro negou ser amigo do
criminoso, atirador de policiais,
Roberto Jefferson (mentira) 
_Bolsonaro confirmou que vai tirar a correção da inflação ao salário mínimo e destruir a vida de aposentados e assalariados (verdade)
#ForaBol卐onaroPaiDaMentira https://t.co/f9kFEF4odL"
18,2022-10-23 23:59:57+00:00,Kloroquino,"@jairbolsonaro @SF_Moro eu ouvi indulto do mito  ?

https://t.co/fenQ13nTW4"
19,2022-10-23 23:59:57+00:00,Santu23dinamo,@Botelho95763374 @thal_cripto @andrevix @jairbolsonaro Qual dos 2 ladrões ?
20,2022-10-23 23:59:56+00:00,LuanAngel10,"No Paraná e alguns demais estados ocorreram diversos assédios eleitorais, foram denunciadas diversas empresas. Não vamos nos calar. Empresários visam lucros com os cortes de direitos dos trabalhadores  após a reeleição do Bolsonaro. Acordem enquanto é tempo."
21,2022-10-23 23:59:56+00:00,marlon_georges,"Após desavenças, Moro estreia em propaganda política de Bolsonaro https://t.co/31DLvHr9jQ"
22,2022-10-23 23:59:56+00:00,viniciuscavila,"BOLSONARO APOIA O CRIME
BOLSONARO APOIA O CRIME
BOLSONARO APOIA O CRIME
BOLSONARO APOIA O CRIME
BOLSONARO APOIA O CRIME
BOLSONARO APOIA O CRIME
BOLSONARO APOIA O CRIME
BOLSONARO APOIA O CRIME"
23,2022-10-23 23:59:56+00:00,eriksantosb_,Eu vendo a história do padre kelmom junto com Bolsonaro como se fosse novidade pra mim 🤡🤡🤡🤡🤡🤡
24,2022-10-23 23:59:56+00:00,MBittencourt20,"@AnjoFuturista @alpha_wilde @thiago_sk8 @jairbolsonaro Tá,.. aula 1.
Juiz não investiga, juiz não denuncia, vitima não pode ser o julgador, crimes comuns não são julgados pelo STF."
25,2022-10-23 23:59:56+00:00,maninhu_,Só hj o Bolsonaro foi repudiar as falas do Roberto Jefferson? kkkk #Eleicao2022
26,2022-10-23 23:59:56+00:00,Alexand74475875,@EthelMaciel Dia 30/10 o BOLSONARO VAI SER REELEITO para acabar com os petistas sanguessugas do Brasil
27,2022-10-23 23:59:56+00:00,adrigraceg,"Assista a Sabatina de Jair Bolsonaro, hoje na Record TV!!

ÀS 21:20

https://t.co/u8RAKNYkNb https://t.co/M88rF6ybYc"
28,2022-10-23 23:59:56+00:00,LivioeHelba,@andretrig BOLSONARO APOIA CRIME
