,Data,User,Texto
0,2022-10-10 23:59:59+00:00,JohnMayko4,"@nikolas_dm Vem pra Itabaiana, marca aí com Luizão Dona trampi, ele foi eleito a Dep estadual e tem pedido muitos votos pro Bolsonaro."
1,2022-10-10 23:59:59+00:00,annapocas,@Izalourenca Esse Satanás não vai longe....  E se vencer Bolsonaro volta com força máxima.
2,2022-10-10 23:59:57+00:00,scaraminion,scaramouche é petista pq a ei é o bolsonaro
3,2022-10-10 23:59:57+00:00,marinarocha1989,@gleisi @LulaOficial Kkkkkkk.. ohhh colega! Fica caladinha! Assim vcs só ajudam o melhor presidente do Brasil.. e não! Não é do seu partido.. é @jairbolsonaro #22neles
4,2022-10-10 23:59:57+00:00,cwroIine,"esse guri dizendo que odeia os dois, mas entre lula e bolsonaro ele odeia mais o lula por ""motivos próprios"" kkkkkkkkkk para de se esconder amor, todo mundo lembra quando tu usava camiseta do bolsonaro em 2018 e fazia milhões de publicações apoiando"
5,2022-10-10 23:59:57+00:00,AdolphoNeto22,"@RomarioOnze Bolsonaro não deu apoio unicamente ao Daniel Silveira, mas deu apoio também a você e à Clarisse Garotinho, inclusive falando em todas as suas LIVES o apoio aos 3 e convocou os eleitores à concentrarem os votos em um dos 3."
6,2022-10-10 23:59:56+00:00,emagrec,"@JeanCzar4 @GigiKaupe @filipesabara Jean, isso é o que o Bolsonaro e aliados fizeram vcs acreditar. STF só ficou “contra” o governo porque fizeram mta merda mesmo… e a mídia idem, a Globo SEMPRE falou mal do Lula quando ele fez merda, ela só continuou falando a verdade.. e ai vcs comecaram a só ler jornal parcial"
7,2022-10-10 23:59:56+00:00,bastos_ilquias,"https://t.co/YF7vjRMqOV
Para criticar o PT de Lula e Dilma, basta falar a verdade nua e crua sem fake news. Deus nos livre de Lula voltar ao poder!!! Por isso devemos reeleger o melhor presidente do mundo, Bolsonaro 22."
8,2022-10-10 23:59:56+00:00,BernadeteGomes1,"@PatriciaLFerraz @jairbolsonaro Vergonha uma entidade como @sebrae apoiar um sujeito como esse. Homem raso, tosco e sem humanidade. Anti-ciência e sem nenhum interesse em educação."
9,2022-10-10 23:59:53+00:00,PatriotAkira,"Roraima é Bolsonaro Presidente!!! Hoje, em Boa Vista, milhares de patriotas vieram dar um recado: Nossa bandeira jamais será vermelha 🇧🇷🇧🇷🇧🇷 https://t.co/b9ki7yOAWB"
10,2022-10-10 23:59:53+00:00,TerraBrasilnot,Apoiadores de Lula espalham fake news sobre Bolsonaro acabar com o Dia de Nossa Senhora Aparecida https://t.co/GGAS3wwzpj
