,Data,User,Texto
0,2022-10-28 23:59:59+00:00,CNNBrasil,"O comentarista da CNN Felipe Moura Brasil analisou o impacto das eleições estaduais na disputa entre o ex-presidente Luiz Inácio Lula da Silva (PT) e o presidente Jair Bolsonaro (PL), candidato à reeleição #ExpressoCNN #CNNnasEleições https://t.co/snAINO0mcH"
1,2022-10-28 23:59:59+00:00,xiovanaaa,"@_Janoninho LULA INOCENTE
BOLSONARO CRIMINOSO  
Meu presidente é o futuro do Brasil"
2,2022-10-28 23:59:59+00:00,MarcosDiamante3,"Bolsonaro já está na globo, Sérgio Moro está Junto.
LULA se assusta com a presença do seu carrasco na lava jato,a noite promete.
Bolsonaro vai botar o ladrão no lugar dele!!!!"
3,2022-10-28 23:59:59+00:00,ninasalim4,Vou assistir no YouTube canal do Bolsonaro!!!
4,2022-10-28 23:59:59+00:00,IsamaraMonteir4,"LULA INOCENTE
ADEUS BOLSONARO
JANONES EU AUTORIZO
vingadores
#NemTodoHeroiUsaCapa"
5,2022-10-28 23:59:58+00:00,Elisson493100eo,@dramayraoficial 2️⃣2️⃣ Santa Quitéria CE com Bolsonaro 🇧🇷💛💚✌✌
6,2022-10-28 23:59:58+00:00,adelarsantoro1,Bolsonaro foi humilhado por capitães de vários países uma vergonha mundi... https://t.co/d9HXzmXTXJ via @YouTube
7,2022-10-28 23:59:58+00:00,Gilbert72708552,"@AntoniDantas22 @AndreJanonesAdv Vergonha alheia, mas deve babar os ovos dos Bolsonaro, né, Toninho?"
8,2022-10-28 23:59:56+00:00,fcojr3,@luizatomeofic @jairbolsonaro Nosso Ceará sente muito orgulho !!!
9,2022-10-28 23:59:56+00:00,CHKleinschmitt,"@Ivanictor @orlandomatheu16 @GuiSampaios Esse papo de narcotráfico vem desde a fundação do Foro de São Paulo que o Lula é o criador e se orgulha, financiado pelas Farc e tanto é que quando Bolsonaro assumiu vazou uma interceptação que com o PT os traficantes tinham diálogo cabuloso. https://t.co/upttZlgdkK"
10,2022-10-28 23:59:56+00:00,raiquinha0,Ninguém aguenta mais geison falando do Bosta do bolsonaro
11,2022-10-28 23:59:56+00:00,nns_eduardo,"@ArielSantos_00 @Brunop2018 @Ratanabatupy @LuciaSusa1 @jairbolsonaro eles fogem dessa pergunta, pq eles mesmo se contradizem kkkk"
12,2022-10-28 23:59:55+00:00,Eu____Sou,@pin_wayne @Arthurmachadosp @filipetrielli @jairbolsonaro bolsonarismo é satânico e criminoso
13,2022-10-28 23:59:55+00:00,JooJoaq11148204,"@joana_lopes18 @KylianFla @SiteResenha Se você entendesse de política e futebol, não votaria no Bolsonaro e tampouco torceria pro pequeno Botafogo 😂"
14,2022-10-28 23:59:55+00:00,emanuelsky28,@pedroocl Junto com Pedro e Bolsonaro. Nossa paraiba sairá desse sinal vermelho.
15,2022-10-28 23:59:54+00:00,mouraedu2,"@henriquedelusio @Victor29973305 @narcisocorretor @acmneto_ @FlavioBolsonaro @jairbolsonaro Mas Jerônimo teve um segundo turno bem ruim  alias ele é muito ruim. ACM é que meteu os pés pelas mãos no 1o turno.

Jerônimo é o Haddad da.bahia...rsrs"
16,2022-10-28 23:59:54+00:00,Edwwnn,@jairbolsonaro 100 anos de sigilo. Não pode ouvir
