,Data,User,Texto
0,2022-10-11 23:59:59+00:00,Jaqueline7263,@jairbolsonaro 🤣🤣🤣🤣🤣boa falou pouco mais disse tudo
1,2022-10-11 23:59:59+00:00,Mariado76179842,@o_antagonista @jairbolsonaro Já anunciou a derrota e o golpe?
2,2022-10-11 23:59:59+00:00,HelioCoelho007,Somos todos Damares Senadora e Presidente Bolsonaro 22. Nenhum mal cairá sobre vcs. Pois o povo de Deus tem orado pela vida de vcs! E tenho Fé que o senhor dos Exércitos já enviou seus anjos para lhes proteger de todo mal e toda sexta maligna!! Deus nunca irá abandonar Los! https://t.co/ff3WAC2RT9
3,2022-10-11 23:59:59+00:00,Reinald5361,"Assistam o que um venezuelano responde ao Felipe Neto. O Brasil está com JAIR BOLSONARO 22 
https://t.co/ic1xem4k7P"
4,2022-10-11 23:59:58+00:00,xptozyk555,@Metropoles @renancalheiros @jairbolsonaro Sei... O camarada que não sabe o que é Bitcoin....muito esperto ele.
5,2022-10-11 23:59:56+00:00,flaviarsusin,@nikolas_dm Essa lelis é aquela que mentiu q saiu com o filho do Bolsonaro?
6,2022-10-11 23:59:55+00:00,marcelo_samp,@jairbolsonaro @jairbolsonaro preste atenção nas comunidades do RJ. Temos vários relatos de pessoas que foram obrigadas a votar no MULA e em outros candidatos do tráfico. Homens armados dentro das salas de votação assistindo e impondo o voto. Coloque o exército nas comunidades para ter ordem.
7,2022-10-11 23:59:55+00:00,fellinijoo1,"@folha ipec para confundir o eleitor mistura verdades e mentiras. Está falando o óbvio sobre Tarcísio,até os gatos de SP sabem que ele vai ganhar lá, mas mente descaradamente quando fala em Bolsonaro que vem crescendo estrondosamente. Vão vencer, os dois pelo bem do Brasil."
8,2022-10-11 23:59:54+00:00,edupinga,"@kelver_vieira @black_chewie @soujoaovitorbr @zemaskwak @RomarioJunio3 @EleicaoBr2022 Acho que ele nem se deu o trabalho de ler “meu voto no segundo turno”, mendoncinha declarou o dele, assim como tô fazendo o meu agora! 😍 isso não é associar, isso é declarar voto. Agora me mostra uma foto de Raquel com Bolsonaro… como a campanha de MA fez… https://t.co/5jnmfA74DU"
9,2022-10-11 23:59:54+00:00,osoldaliberdade,"Após declarar apoio a Bolsonaro, Moro pede que brasileiros votem no 2° turno para derrotar o PThttps://link.conexaopolitica.com.br/97qrp9mbn7vFnBv5A"
10,2022-10-11 23:59:53+00:00,EVOTOLULA13,"GOVERNO BOLSONARO PROPÕE ELETROCHOQUE EM CRIANÇAS AUTISTAS!
#FORABOLSONARO
ESTOU COM LULA https://t.co/VJ5ZnXIGkF"
11,2022-10-11 23:59:53+00:00,NappiScarpari,"@nikolas_dm ta vendo ... isso q da foi mexe no leite moça do cara da nisso ..... 

@jairbolsonaro baixa o preço da leite moça po kkkkkkkkkkkkk"
12,2022-10-11 23:59:52+00:00,SaraBar99075705,@jairbolsonaro Pois é. https://t.co/w8wqA1EujZ
13,2022-10-11 23:59:51+00:00,mariaap03503874,"Pela  nossa liberdade, BOLSONARO 22. https://t.co/XqXZ8U2BWM"
14,2022-10-11 23:59:51+00:00,NicaCristina,"@ianderson18 @Individuo31153 @Gera_PT13 @JornalOGlobo Não estou te agredindo, mas coloca na balança! O que de bom Bolsonaro já fez na vida como político??
Já procurei e nunca achei! Principalmente em prol da nação! A não ser ofender?"
15,2022-10-11 23:59:50+00:00,mwdrdcrf,e a record segue fazendo campanha pro bolsonaro na tv kkkkkkkkkkkkkkk
16,2022-10-11 23:59:50+00:00,PaulaMaurilia,@FlavioBolsonaro Será que na próxima vai ser o mesmo. Tomara que sim. Estou cheia de ver propaganda enganosa sobre o Lula.  Tenho certeza que na próxima vai dar lulalala. Fora Bolsonaro .
17,2022-10-11 23:59:50+00:00,Joseramosfilho6,"BOLSONARO DEVE ESTAR CHORANDO DE INVEJA.
KKKKKKKKK https://t.co/pmI3uSi25e"
18,2022-10-11 23:59:50+00:00,Naim72089503,"@TimeCiroGomes Inacreditável ver os defensores da causa LGBT utilizando a homossexualidade como algo degradante.
Ciro Gomes que me desculpe, mas digitar 13 é uma afronta a quem defende o PND.
Vou votar na reeleição do Bolsonaro e em 2026 ou a esquerda se une em torno do Ciro ou perde de novo."
19,2022-10-11 23:59:49+00:00,cou79992205,"@YM777P @BlogdoNoblat Haha quanta ilusão, a câmara e Senado são do centrao, o Lula sendo eleito é so comprsr igual o bolsonaro, você acha que virar 6 milhões de votos é simples assim kkkkk."
20,2022-10-11 23:59:49+00:00,AndreOdee,@jairbolsonaro É #LulaLá Bozo.
21,2022-10-11 23:59:49+00:00,DanilloOliv2,"@lmaia Meu medo é muita gente mudar o voto nulo para Bolsonaro. Aí seríamos novamente surpreendidos com uns 4/5 pontos a mais pra ele, que poderiam marcar a virada."
22,2022-10-11 23:59:48+00:00,OficialJBr,"Pesquisa Ipec: Em PE, Lula tem 68% e Bolsonaro, 25%, em votos totais no 2º turno https://t.co/ffY7XECOs5"
23,2022-10-11 23:59:48+00:00,Ricardo07183805,@samiabomfim Sou Conservador nos Costumes e Liberal na Economia e voto Bolsonaro no 2o turno
24,2022-10-11 23:59:47+00:00,L1m4G4br1e_,@IgorRipardo Se fosse apoio o Bolsonaro queria ver se a narrativa seria a mesma. Vtnc.
25,2022-10-11 23:59:46+00:00,CarmemSimanke,Derrete Alagoas somos todos Bolsonaro adeus PT .Já decidimos PT nunca mais
26,2022-10-11 23:59:45+00:00,WesleySilveri19,Bolsonaro no Nikolas chupetinha @nikolas_dm
27,2022-10-11 23:59:45+00:00,mar_t_br,"@fabiofaria MAU MILITAR
FARISEU
DESONESTO
DESUMANO
PREGUIÇOSO
COVARDE
LADRÃO
BOLSONARO CORRUPTO
BROXA
CORNO
DA ROGÉRIA
DA ANA CRISTINA
DA MICHEQUE"
28,2022-10-11 23:59:44+00:00,MansoMurilo,@HAMILTONBIANCO @SamuelFariasx @FrancieliTesse @c0nker13 @RampazzoVitor @jairbolsonaro Se o governo é inocente então pra que tanto sigilo?
29,2022-10-11 23:59:44+00:00,CarlosAAnjos1,@BlogdoNoblat Esquerdista é tão burro que até meme tem que copiar dos eleitores do Bolsonaro...
30,2022-10-11 23:59:43+00:00,DiasMonteiroO,"@CentralEleicoes Marília é Lula
Raquel é Bolsonaro"
31,2022-10-11 23:59:43+00:00,Tiagoazevedotl,"@nikolas_dm Rapaiz!!! Ninguém para esse Nikolas!! Que gênio!! Se cuida @jairbolsonaro kkkk

🇧🇷👍🏻🫡"
32,2022-10-11 23:59:43+00:00,Angela71707504,@DaniloGentili Já é  Bolsonaro
33,2022-10-11 23:59:42+00:00,Casagra68956873,@bruxcavi Bolsonaro 🇧🇷 🇧🇷 🇧🇷 🇧🇷 22
34,2022-10-11 23:59:42+00:00,Francis19409517,@Doprimido2 Você  é um ladrão mau caráter mentiroso! Bolsonaro reeleito 22.
35,2022-10-11 23:59:42+00:00,marcelo_samp,@jairbolsonaro @jairbolsonaro preste atenção nas comunidades do RJ. Temos vários relatos de pessoas que foram obrigadas a votar no MULA e em outros candidatos do tráfico. Homens armados dentro das salas de votação assistindo e impondo o voto. Coloque o exército nas comunidades para ter ordem.
36,2022-10-11 23:59:41+00:00,PauloRo49949795,"@jairbolsonaro É por isso que o Brasil tá na situação de caos que tá, por causa das escolhas erradas de um sujeito louco e desequilibrado que não tem noção do que faz"
37,2022-10-11 23:59:41+00:00,TequilayJack,"@JD52282440 @Vytorsilvared @albertocalmeida Agro são vários estados. E estado Natal não é lá grandes coisas, Bolsonaro é do RJ, mas pontua bem melhor em SC."
38,2022-10-11 23:59:41+00:00,Jocenilda1,"@anonymousSCT Ah então é por isso que durante a campanha esse Nikolas ficou conhecido como ""CHUPETINHA DO BOLSONARO""? 
Hummm 🤔
Safadinho, hein! 😂😂 https://t.co/O2k6hLBT7B"
39,2022-10-11 23:59:40+00:00,jay_alv1,@nikolas_dm Só quando ele diz votar em @jairbolsonaro https://t.co/NFqX4Mlf3x
40,2022-10-11 23:59:40+00:00,blogdidigalvao,Pesquisa Abrapel/Ipespe: Lula tem 54% dos votos válidos; Bolsonaro 46% https://t.co/qPDS3Rzx52
41,2022-10-11 23:59:39+00:00,Mauriciofil,"Com essa já virou milhões de votos.
@nikolas_dm @jairbolsonaro @CarlosBolsonaro @BolsonaroSP"
42,2022-10-11 23:59:39+00:00,Francis28379005,@apagliar Fora Bolsonaro e pior presidente da história da República brasileira
43,2022-10-11 23:59:38+00:00,mar_t_br,"@FlavioBolsonaro @andrevaladao @nikolas_dm MAU MILITAR
FARISEU
DESONESTO
DESUMANO
PREGUIÇOSO
COVARDE
LADRÃO
BOLSONARO CORRUPTO
BROXA
CORNO
DA ROGÉRIA
DA ANA CRISTINA
DA MICHEQUE"
44,2022-10-11 23:59:38+00:00,Simone16669452,"@jairbolsonaro MAS NAO SABÍAMOS O PRINCIPAL .......
Que o ""excelentíssimo "" fazia parte do CENTRÃO"
45,2022-10-11 23:59:38+00:00,InvertidoSem,@jairbolsonaro Não sou a favor do Lula e nem do senhor pois minha maior certeza é que ganhando ou não vocês vão ter salários milagrosos que é diferente do nosso povo brasileiro então se quem ganhar poderia realizar meu sonho é adicionar leis que funcionam please ❤❤❤🙏🙏🙏
46,2022-10-11 23:59:38+00:00,PeresRomilda,"@jairbolsonaro Em 2018 vc quis fechar a fronteira, lembra? Pq vc odeia imigrantes."
47,2022-10-11 23:59:37+00:00,LucasBorguete,"@jairbolsonaro No lado dos Rico vc reina,mas os pobres e classe trabalhadora vc não engana mais"
48,2022-10-11 23:59:36+00:00,MrcioMo04683575,"@geraldoalckmin @KatiaAbreu @LulaOficial Nem quem insiste em não ver a verdade não tem como não perceber o que sempre aconteceu na política brasileira. Todos q estão contra Bolsonaro nunca foram oposição uns dos outros, era tudo um plano para se manterem no poder. Só faltava o PSDB se declarar que fazia parte d esquema https://t.co/St3q9D1cCN"
49,2022-10-11 23:59:36+00:00,RaviSantana,"@WalterAndraade @asmartinm @monicabergamo Sim, tem gente que acredita no Bolsonaro, um vagabundo ex-presidiario. https://t.co/9PeuBEtbbB"
50,2022-10-11 23:59:35+00:00,dissertacaoufc,@jairbolsonaro é verdade que ele namora com carluxo? https://t.co/4EP0ZS2DMF
51,2022-10-11 23:59:35+00:00,Ricardo07183805,Sou Conservador nos Costumes e Liberal na Economia e voto Bolsonaro no 2o turno. https://t.co/htKVMnzrTP
52,2022-10-11 23:59:34+00:00,malaquias1971,"@jairbolsonaro Nosso comandante ele e tudo de bom pra nossa nação ,ele o verdadeiro patriota ele vai mudar a cara deste país mais ainda seja abençoado presidente"
53,2022-10-11 23:59:34+00:00,CristianoCalpes,@jairbolsonaro @monicabergamo Lulinha https://t.co/Kt77ZQ6iFl
54,2022-10-11 23:59:34+00:00,AndreBorges_JOR,"Ex-ministro da Cultura de Temer, Marcelo Calero fala sobre o risco que Bolsonaro representa à democracia e o que está em jogo no futuro do país."
55,2022-10-11 23:59:32+00:00,mar_t_br,"@DamaresAlves MAU MILITAR
FARISEU
DESONESTO
DESUMANO
PREGUIÇOSO
COVARDE
LADRÃO
BOLSONARO CORRUPTO
BROXA
CORNO
DA ROGÉRIA
DA ANA CRISTINA
DA MICHEQUE"
56,2022-10-11 23:59:32+00:00,mversiani,"@febroniocabrunc @fiscaldoibama Se a PEC 32 passar como está, muitos que acham que estão seguros vão se lascar. Deveria ser feito um trabalho de convencimento em cima disso. É desses nichos que dá para virar votos do Bolsonaro. Infelizmente, o PT está jogando o nível do debate para baixo também."
57,2022-10-11 23:59:31+00:00,Vitorjose2024,Cadê o relatório das urnas ein @jairbolsonaro?
58,2022-10-11 23:59:31+00:00,HRBahia,"Arthur Maia declara apoio a Bolsonaro no segundo turno 
https://t.co/PawmA6vskG"
59,2022-10-11 23:59:30+00:00,Ita_Castanon,@alertatotal @JoelmaL43708620 @jairbolsonaro A imprensa foi pro lixo
60,2022-10-11 23:59:30+00:00,EdBrandino,"Feliz dia das crianças pátria amada 🇧🇷
@jairbolsonaro @tarcisiogdf @Zambelli2210 
#B22 #BolsonaroReeleito https://t.co/cx7c3PIvuu"
61,2022-10-11 23:59:30+00:00,AGMartins3,"@BernardoMF Os erros seriam por incompetência ou por má-fé? Foram 14 pontos percentuais roubados para menos em Bolsonaro. Eu fico imaginando se tivessem roubado de Lula. Alexandre de Moraes estaria mandando prender todo mundo por Crime Eleitoral. 

Pesos e medidas diferentes… https://t.co/Hrga6nQ1wx"
62,2022-10-11 23:59:29+00:00,Bryanhistoria,"@fabianocplima Dei uma silenciada, pq ele está numa pegada ante-bolsonaro que está me cansando. Isso pq nem sou bolsonarista, mas tá enjoado demais."
63,2022-10-11 23:59:29+00:00,thadeufelix_adv,"Acho que deveria mudar o candidato a presidente. Sai @jairbolsonaro, entra @nikolas_dm. O menino tá indo pro Nordeste, onde ninguém conhece ele, pra “virar voto”. Nessa lógica, ele é muito mais forte que o presidente. Kkkk"
64,2022-10-11 23:59:29+00:00,GuiMirandSilva,"@donairene13 O Onix é muito pior.
É representação forte do Bosonarismo.

Apesar do Leite não ter se posicionado contra o Bolsonaro (🤢🤮), não acho que ele represente o fascismo."
65,2022-10-11 23:59:29+00:00,ItamarPT13,"Bolsonaro volta atrás após cogitar aumentar ministros no STF: 'Vocês que inventaram'

O MENTIROSO!
 https://t.co/qQ710H90BG"
